codigo,descripcion,monto
PROD-01287,Sony Teclado - Modelo 686,4818.84
PROD-01288,Kingston Auricular - Modelo 364,2522.88
PROD-01289,Sony Gabinete - Modelo 607,1135.06
PROD-01290,Samsung Gabinete - Modelo 404,1874.93
PROD-01291,Dell RAM - Modelo 608,867.7
PROD-01292,Dell RAM - Modelo 771,3949.71
PROD-01293,Corsair Monitor - Modelo 137,925.28
PROD-01294,Dell Teclado - Modelo 369,386.71
PROD-01295,Samsung Gabinete - Modelo 297,1883.06
PROD-01296,ASUS Teclado - Modelo 795,3297.29
PROD-01297,Corsair Monitor - Modelo 569,1225.63
PROD-01298,Logitech SSD - Modelo 795,3216.94
PROD-01299,Logitech SSD - Modelo 805,4371.31
PROD-01300,Dell Mouse - Modelo 710,2983.78
PROD-01301,LG Fuente - Modelo 693,1335.38
PROD-01302,ASUS Webcam - Modelo 908,2490.48
PROD-01303,Samsung Teclado - Modelo 318,786.27
PROD-01304,Logitech Gabinete - Modelo 203,211.47
PROD-01305,Logitech Auricular - Modelo 109,699.38
PROD-01306,Razer Gabinete - Modelo 839,2159.99
PROD-01307,Corsair SSD - Modelo 990,4179.56
PROD-01308,ASUS Fuente - Modelo 546,811.46
PROD-01309,Kingston Teclado - Modelo 896,2598.69
PROD-01310,Corsair SSD - Modelo 783,2863.07
PROD-01311,Sony SSD - Modelo 215,3116.46
PROD-01312,Sony Monitor - Modelo 632,2495.45
PROD-01313,Kingston Teclado - Modelo 736,1661.28
PROD-01314,LG RAM - Modelo 668,1243.6
PROD-01315,Kingston Monitor - Modelo 655,972.52
PROD-01316,Corsair Monitor - Modelo 684,2802.75
PROD-01317,Corsair Auricular - Modelo 576,3312.07
PROD-01318,Dell Webcam - Modelo 981,1184.48
PROD-01319,LG RAM - Modelo 377,2932.22
PROD-01320,LG RAM - Modelo 232,1525.93
PROD-01321,Logitech Fuente - Modelo 569,2966.62
PROD-01322,Samsung Gabinete - Modelo 982,4075.54
PROD-01323,Razer Teclado - Modelo 644,779.89
PROD-01324,Logitech SSD - Modelo 746,2168.26
PROD-01325,HP Webcam - Modelo 903,1407.26
PROD-01326,Sony Auricular - Modelo 870,1704.32
PROD-01327,LG SSD - Modelo 963,4366.46
PROD-01328,Corsair RAM - Modelo 639,3395.63
PROD-01329,Razer Fuente - Modelo 271,4142.63
PROD-01330,LG Laptop - Modelo 729,583.92
PROD-01331,Sony Webcam - Modelo 910,3204.57
PROD-01332,Logitech Teclado - Modelo 316,3401.93
PROD-01333,ASUS Teclado - Modelo 571,3745.29
PROD-01334,LG Laptop - Modelo 164,2417.74
PROD-01335,HP Gabinete - Modelo 307,520.64
PROD-01336,Dell Teclado - Modelo 542,4811.12
PROD-01337,LG Auricular - Modelo 838,2631.78
PROD-01338,LG Fuente - Modelo 866,756.24
PROD-01339,Dell Fuente - Modelo 867,3423.32
PROD-01340,HP Mouse - Modelo 781,41.85
PROD-01341,LG Laptop - Modelo 353,108.54
PROD-01342,Razer Webcam - Modelo 781,3177.31
PROD-01343,Corsair Webcam - Modelo 773,1093.75
PROD-01344,Kingston Monitor - Modelo 119,1386.43
PROD-01345,LG Fuente - Modelo 972,3052.43
PROD-01346,Corsair Laptop - Modelo 275,442.21
PROD-01347,LG Auricular - Modelo 295,986.84
PROD-01348,LG SSD - Modelo 460,4600.15
PROD-01349,Razer Auricular - Modelo 276,805.64
PROD-01350,Corsair Mouse - Modelo 930,4717.42
PROD-01351,Samsung Mouse - Modelo 957,545.5
PROD-01352,HP Auricular - Modelo 858,1470.62
PROD-01353,Kingston Monitor - Modelo 252,2340.67
PROD-01354,HP Auricular - Modelo 242,3864.66
PROD-01355,Kingston Auricular - Modelo 153,2712.41
PROD-01356,HP Gabinete - Modelo 182,3708.23
PROD-01357,ASUS Gabinete - Modelo 559,1840.16
PROD-01358,Dell Monitor - Modelo 435,1643.22
PROD-01359,Logitech Fuente - Modelo 519,490.14
PROD-01360,Kingston Laptop - Modelo 851,2439.75
PROD-01361,HP Teclado - Modelo 475,4113.62
PROD-01362,Sony Gabinete - Modelo 996,3300.95
PROD-01363,Razer SSD - Modelo 529,4383.76
PROD-01364,Kingston SSD - Modelo 876,3152.95
PROD-01365,Samsung Monitor - Modelo 996,3752.06
PROD-01366,Corsair Mouse - Modelo 239,2242.89
PROD-01367,Corsair Monitor - Modelo 988,1755.74
PROD-01368,Logitech Laptop - Modelo 839,1349.74
PROD-01369,LG Teclado - Modelo 191,2510.17
PROD-01370,Corsair Laptop - Modelo 998,3278.55
PROD-01371,Sony Teclado - Modelo 284,4798.72
PROD-01372,Dell RAM - Modelo 449,1727.33
PROD-01373,ASUS Webcam - Modelo 790,3087.0
PROD-01374,Logitech Laptop - Modelo 790,4736.86
PROD-01375,Razer Monitor - Modelo 804,734.67
PROD-01376,ASUS Laptop - Modelo 958,1057.45
PROD-01377,Dell Teclado - Modelo 185,1192.21
PROD-01378,Razer Gabinete - Modelo 754,2944.72
PROD-01379,Razer Teclado - Modelo 945,3371.77
PROD-01380,Razer Teclado - Modelo 852,3909.69
PROD-01381,Razer Gabinete - Modelo 928,1976.75
PROD-01382,LG Auricular - Modelo 136,3863.02
PROD-01383,Corsair Webcam - Modelo 120,300.85
PROD-01384,LG Auricular - Modelo 748,4586.03
PROD-01385,HP Gabinete - Modelo 461,561.57
PROD-01386,Samsung Webcam - Modelo 315,1248.72
PROD-01387,LG SSD - Modelo 408,4234.86
PROD-01388,Logitech SSD - Modelo 919,629.07
PROD-01389,LG Laptop - Modelo 731,3128.65
PROD-01390,HP Teclado - Modelo 752,3379.07
PROD-01391,Sony Auricular - Modelo 728,1801.51
PROD-01392,Dell SSD - Modelo 876,3785.39
PROD-01393,Logitech Auricular - Modelo 867,2283.51
PROD-01394,Corsair Monitor - Modelo 707,3337.22
PROD-01395,HP Laptop - Modelo 218,4861.53
PROD-01396,Dell Fuente - Modelo 233,4568.38
PROD-01397,Razer Teclado - Modelo 660,4098.14
PROD-01398,Corsair Webcam - Modelo 345,4677.47
PROD-01399,Razer SSD - Modelo 136,425.91
PROD-01400,ASUS Gabinete - Modelo 943,1475.36
PROD-01401,HP Laptop - Modelo 960,4557.64
PROD-01402,Kingston Laptop - Modelo 613,1162.1
PROD-01403,Corsair Gabinete - Modelo 185,2176.26
PROD-01404,Logitech Gabinete - Modelo 175,1503.55
PROD-01405,Kingston Monitor - Modelo 737,3465.98
PROD-01406,Razer Fuente - Modelo 501,1628.64
PROD-01407,Kingston Fuente - Modelo 285,4280.43
PROD-01408,Samsung Laptop - Modelo 556,2210.74
PROD-01409,Sony Gabinete - Modelo 479,1204.59
PROD-01410,Samsung Fuente - Modelo 433,4881.28
PROD-01411,Razer SSD - Modelo 683,4319.09
PROD-01412,ASUS Auricular - Modelo 561,2943.4
PROD-01413,Logitech SSD - Modelo 635,2417.3
PROD-01414,Dell Laptop - Modelo 335,570.69
PROD-01415,Dell Mouse - Modelo 680,1442.16
PROD-01416,LG Gabinete - Modelo 738,557.0
PROD-01417,HP Teclado - Modelo 384,697.0
PROD-01418,Corsair Mouse - Modelo 691,4508.53
PROD-01419,LG Laptop - Modelo 594,284.09
PROD-01420,Sony Fuente - Modelo 626,1316.19
PROD-01421,Samsung Laptop - Modelo 669,2427.75
PROD-01422,Corsair Monitor - Modelo 294,2332.78
PROD-01423,Dell Gabinete - Modelo 329,3340.56
PROD-01424,Kingston Mouse - Modelo 682,3167.25
PROD-01425,HP Monitor - Modelo 110,513.54
PROD-01426,Kingston Mouse - Modelo 482,2818.29
PROD-01427,Dell Gabinete - Modelo 363,213.58
PROD-01428,LG Webcam - Modelo 638,4887.28
PROD-01429,ASUS Laptop - Modelo 687,1190.05
PROD-01430,Corsair Laptop - Modelo 530,220.15
PROD-01431,HP Teclado - Modelo 331,1048.29
PROD-01432,Logitech Laptop - Modelo 744,4731.31
PROD-01433,Razer Teclado - Modelo 108,3812.84
PROD-01434,Kingston RAM - Modelo 275,2308.92
PROD-01435,Kingston Mouse - Modelo 520,3059.37
PROD-01436,Razer Laptop - Modelo 860,1098.75
PROD-01437,Corsair Mouse - Modelo 633,160.06
PROD-01438,LG Gabinete - Modelo 546,4962.92
PROD-01439,Dell Mouse - Modelo 829,3583.47
PROD-01440,Razer Monitor - Modelo 721,319.29
PROD-01441,LG SSD - Modelo 398,4621.28
PROD-01442,Sony Teclado - Modelo 977,4035.4
PROD-01443,Sony Teclado - Modelo 694,1229.35
PROD-01444,Logitech Webcam - Modelo 235,523.72
PROD-01445,LG Laptop - Modelo 468,1910.37
PROD-01446,HP Webcam - Modelo 956,4581.01
PROD-01447,Dell Laptop - Modelo 805,2155.3
PROD-01448,Samsung Monitor - Modelo 709,3080.82
PROD-01449,ASUS Monitor - Modelo 112,3784.6
PROD-01450,LG Monitor - Modelo 626,2093.25
PROD-01451,Sony Gabinete - Modelo 499,4302.4
PROD-01452,Dell Webcam - Modelo 685,781.66
PROD-01453,ASUS Monitor - Modelo 810,2997.68
PROD-01454,Samsung Gabinete - Modelo 227,4085.86
PROD-01455,Razer SSD - Modelo 761,864.52
PROD-01456,LG Laptop - Modelo 972,3243.9
PROD-01457,LG Laptop - Modelo 418,4772.1
PROD-01458,Razer Webcam - Modelo 740,4364.3
PROD-01459,Dell Gabinete - Modelo 527,636.34
PROD-01460,Kingston Fuente - Modelo 843,4416.65
PROD-01461,LG Fuente - Modelo 719,527.74
PROD-01462,Samsung RAM - Modelo 278,3179.15
PROD-01463,ASUS SSD - Modelo 276,729.51
PROD-01464,Dell RAM - Modelo 599,3325.2
PROD-01465,HP Monitor - Modelo 743,2142.92
PROD-01466,HP RAM - Modelo 780,3849.36
PROD-01467,Dell SSD - Modelo 878,2549.3
PROD-01468,Razer Monitor - Modelo 205,2781.67
PROD-01469,Logitech RAM - Modelo 414,4573.61
PROD-01470,Dell Teclado - Modelo 807,473.3
PROD-01471,LG Teclado - Modelo 248,3706.89
PROD-01472,Kingston Gabinete - Modelo 772,231.02
PROD-01473,LG Monitor - Modelo 946,3136.07
PROD-01474,Sony Mouse - Modelo 921,4762.77
PROD-01475,Corsair Gabinete - Modelo 578,3266.22
PROD-01476,Kingston SSD - Modelo 517,28.28
PROD-01477,Dell Gabinete - Modelo 464,3592.51
PROD-01478,Sony Fuente - Modelo 725,500.01
PROD-01479,Kingston SSD - Modelo 198,2608.13
PROD-01480,Dell Auricular - Modelo 906,4399.94
PROD-01481,Samsung Teclado - Modelo 565,986.46
PROD-01482,Dell Auricular - Modelo 451,4938.82
PROD-01483,Dell Laptop - Modelo 166,1733.78
PROD-01484,Dell Monitor - Modelo 851,2161.44
PROD-01485,ASUS Laptop - Modelo 902,1447.09
PROD-01486,Dell SSD - Modelo 589,492.76
PROD-01487,LG SSD - Modelo 318,2650.72
PROD-01488,Dell Auricular - Modelo 671,3829.43
PROD-01489,ASUS Teclado - Modelo 239,4015.27
PROD-01490,HP Teclado - Modelo 638,2161.12
PROD-01491,Samsung Gabinete - Modelo 893,3491.74
PROD-01492,Razer RAM - Modelo 414,3817.43
PROD-01493,LG Teclado - Modelo 878,4554.17
PROD-01494,Samsung Webcam - Modelo 244,481.6
PROD-01495,ASUS Auricular - Modelo 753,4413.71
PROD-01496,LG Fuente - Modelo 515,1386.49
PROD-01497,Kingston Auricular - Modelo 557,961.57
PROD-01498,Kingston Laptop - Modelo 858,1519.81
PROD-01499,Logitech Webcam - Modelo 208,1627.86
PROD-01500,ASUS Webcam - Modelo 709,951.64
PROD-01501,LG RAM - Modelo 801,718.96
PROD-01502,Corsair Mouse - Modelo 879,3718.33
PROD-01503,Logitech Laptop - Modelo 219,1250.52
PROD-01504,HP Gabinete - Modelo 254,366.87
PROD-01505,Samsung Teclado - Modelo 148,1012.52
PROD-01506,Sony Teclado - Modelo 367,2242.75
PROD-01507,Kingston Teclado - Modelo 865,2262.23
PROD-01508,Sony SSD - Modelo 930,3946.73
PROD-01509,Logitech Teclado - Modelo 250,1617.96
PROD-01510,Samsung Monitor - Modelo 614,252.99
PROD-01511,Razer Laptop - Modelo 889,3717.29
PROD-01512,Razer Laptop - Modelo 840,341.25
PROD-01513,Corsair Mouse - Modelo 977,3191.24
PROD-01514,Logitech Monitor - Modelo 273,462.89
PROD-01515,Samsung Gabinete - Modelo 418,4720.45
PROD-01516,Logitech Fuente - Modelo 595,1837.24
PROD-01517,Logitech Laptop - Modelo 836,95.18
PROD-01518,Kingston Webcam - Modelo 575,3104.5
PROD-01519,Corsair Monitor - Modelo 945,2840.2
PROD-01520,Corsair Webcam - Modelo 672,3850.8
PROD-01521,Samsung Laptop - Modelo 433,139.24
PROD-01522,Sony Laptop - Modelo 248,1991.86
PROD-01523,Kingston Mouse - Modelo 932,2552.3
PROD-01524,HP RAM - Modelo 731,668.51
PROD-01525,Logitech Webcam - Modelo 740,2111.11
PROD-01526,Kingston SSD - Modelo 670,4985.82
PROD-01527,HP Auricular - Modelo 324,1184.95
PROD-01528,Samsung RAM - Modelo 424,3270.38
PROD-01529,Logitech Teclado - Modelo 986,4164.33
PROD-01530,Kingston Monitor - Modelo 243,4637.98
PROD-01531,HP Monitor - Modelo 348,3769.42
PROD-01532,Dell Fuente - Modelo 301,1456.63
PROD-01533,Dell Mouse - Modelo 560,4837.36
PROD-01534,Kingston RAM - Modelo 925,4747.12
PROD-01535,HP Gabinete - Modelo 164,1805.64
PROD-01536,LG Gabinete - Modelo 497,1402.04
PROD-01537,Corsair Teclado - Modelo 190,2665.31
PROD-01538,ASUS RAM - Modelo 242,2014.49
PROD-01539,HP Gabinete - Modelo 547,197.56
PROD-01540,Dell Fuente - Modelo 502,4268.17
PROD-01541,Logitech Auricular - Modelo 628,2551.86
PROD-01542,Dell SSD - Modelo 915,3079.53
PROD-01543,Kingston Gabinete - Modelo 170,1455.93
PROD-01544,Logitech Webcam - Modelo 295,4961.99
PROD-01545,Dell Auricular - Modelo 695,3730.84
PROD-01546,Sony Laptop - Modelo 473,1723.57
PROD-01547,Kingston SSD - Modelo 145,2980.15
PROD-01548,Corsair Auricular - Modelo 311,3967.16
PROD-01549,HP Laptop - Modelo 608,1790.12
PROD-01550,LG SSD - Modelo 400,250.06
PROD-01551,HP RAM - Modelo 527,2962.98
PROD-01552,ASUS Teclado - Modelo 500,1428.46
PROD-01553,Dell SSD - Modelo 653,3314.63
PROD-01554,Sony Webcam - Modelo 585,2275.42
PROD-01555,Razer SSD - Modelo 459,2828.85
PROD-01556,Corsair Mouse - Modelo 972,2260.2
PROD-01557,Dell RAM - Modelo 268,2149.23
PROD-01558,Corsair Monitor - Modelo 459,2360.62
PROD-01559,Sony Webcam - Modelo 536,1078.92
PROD-01560,Samsung Fuente - Modelo 867,210.93
PROD-01561,Kingston Webcam - Modelo 669,3865.44
PROD-01562,LG Monitor - Modelo 580,3389.62
PROD-01563,Razer Fuente - Modelo 403,195.28
PROD-01564,Sony Laptop - Modelo 230,1969.42
PROD-01565,Corsair SSD - Modelo 474,4757.07
PROD-01566,Corsair SSD - Modelo 658,1533.22
PROD-01567,Logitech Laptop - Modelo 690,4473.13
PROD-01568,Razer Mouse - Modelo 451,3137.25
PROD-01569,LG Laptop - Modelo 731,4219.96
PROD-01570,ASUS Auricular - Modelo 304,4264.91
PROD-01571,Sony Fuente - Modelo 911,163.68
PROD-01572,Kingston Teclado - Modelo 815,1374.65
PROD-01573,HP Teclado - Modelo 726,2808.57
PROD-01574,Logitech Monitor - Modelo 802,1190.77
PROD-01575,Corsair Gabinete - Modelo 392,93.13
PROD-01576,Corsair Mouse - Modelo 257,4708.85
PROD-01577,Corsair Teclado - Modelo 428,1561.11
PROD-01578,Sony SSD - Modelo 304,789.82
PROD-01579,ASUS RAM - Modelo 262,796.74
PROD-01580,Logitech Laptop - Modelo 782,2128.7
PROD-01581,LG SSD - Modelo 867,600.97
PROD-01582,Samsung Mouse - Modelo 140,1533.36
PROD-01583,Samsung Auricular - Modelo 431,998.93
PROD-01584,HP Fuente - Modelo 961,394.4
PROD-01585,Razer Gabinete - Modelo 333,1511.36
PROD-01586,ASUS Monitor - Modelo 380,2218.14
PROD-01587,Razer Auricular - Modelo 670,389.23
PROD-01588,Kingston Teclado - Modelo 140,2406.73
PROD-01589,Logitech Monitor - Modelo 631,2122.83
PROD-01590,Razer Monitor - Modelo 625,3031.48
PROD-01591,Razer SSD - Modelo 298,3476.87
PROD-01592,ASUS Auricular - Modelo 951,4600.65
PROD-01593,Corsair Webcam - Modelo 448,4377.26
PROD-01594,HP Auricular - Modelo 635,4859.52
PROD-01595,Razer SSD - Modelo 658,1184.57
PROD-01596,LG Mouse - Modelo 636,2131.98
PROD-01597,LG Monitor - Modelo 508,984.34
PROD-01598,Dell Gabinete - Modelo 306,1379.67
PROD-01599,LG RAM - Modelo 957,4555.69
PROD-01600,Dell Laptop - Modelo 693,1733.08
PROD-01601,LG Mouse - Modelo 886,4310.31
PROD-01602,LG SSD - Modelo 434,3014.95
PROD-01603,ASUS Laptop - Modelo 953,511.7
PROD-01604,Dell Mouse - Modelo 203,4669.82
PROD-01605,HP Webcam - Modelo 570,756.74
PROD-01606,HP Laptop - Modelo 399,1542.65
PROD-01607,Logitech Webcam - Modelo 512,1572.68
PROD-01608,Corsair Mouse - Modelo 611,4267.06
PROD-01609,Razer Gabinete - Modelo 701,2454.38
PROD-01610,Samsung Gabinete - Modelo 660,3973.42
PROD-01611,LG Gabinete - Modelo 935,1989.18
PROD-01612,Logitech Mouse - Modelo 870,4284.42
PROD-01613,Kingston Webcam - Modelo 344,3528.94
PROD-01614,ASUS Fuente - Modelo 783,2313.07
PROD-01615,Samsung RAM - Modelo 963,4965.44
PROD-01616,LG Monitor - Modelo 403,1272.6
PROD-01617,HP RAM - Modelo 696,1504.28
PROD-01618,Razer Gabinete - Modelo 307,314.3
PROD-01619,ASUS Gabinete - Modelo 829,3383.69
PROD-01620,Razer Mouse - Modelo 684,2715.25
PROD-01621,Logitech Monitor - Modelo 872,950.77
PROD-01622,ASUS Webcam - Modelo 837,3616.79
PROD-01623,Dell Monitor - Modelo 130,4818.52
PROD-01624,HP Webcam - Modelo 256,2663.45
PROD-01625,LG Auricular - Modelo 731,1323.41
PROD-01626,Kingston Teclado - Modelo 854,525.28
PROD-01627,Logitech Laptop - Modelo 395,369.02
PROD-01628,LG Fuente - Modelo 629,3415.92
PROD-01629,Samsung Mouse - Modelo 231,2927.98
PROD-01630,HP SSD - Modelo 154,3752.6
PROD-01631,Razer Monitor - Modelo 578,2227.97
PROD-01632,Sony RAM - Modelo 583,1439.06
PROD-01633,Dell Monitor - Modelo 797,3839.89
PROD-01634,Razer Auricular - Modelo 402,1311.94
PROD-01635,HP Laptop - Modelo 110,3271.89
PROD-01636,Kingston Mouse - Modelo 116,2866.15
PROD-01637,Kingston Mouse - Modelo 150,2425.09
PROD-01638,Corsair RAM - Modelo 810,4252.61
PROD-01639,LG Mouse - Modelo 657,80.03
PROD-01640,LG Gabinete - Modelo 573,3094.78
PROD-01641,Kingston Fuente - Modelo 887,2800.1
PROD-01642,Logitech SSD - Modelo 649,181.69
PROD-01643,Logitech Laptop - Modelo 531,1379.22
PROD-01644,Samsung Mouse - Modelo 813,4855.79
PROD-01645,LG SSD - Modelo 586,3166.0
PROD-01646,Razer SSD - Modelo 503,3279.94
PROD-01647,Dell Laptop - Modelo 335,4880.0
PROD-01648,Dell SSD - Modelo 185,1033.98
PROD-01649,Logitech Laptop - Modelo 949,338.34
PROD-01650,Sony RAM - Modelo 101,2515.77
PROD-01651,Samsung RAM - Modelo 262,4350.97
PROD-01652,HP RAM - Modelo 318,116.15
PROD-01653,Logitech Monitor - Modelo 419,1384.85
PROD-01654,Dell Mouse - Modelo 404,1798.29
PROD-01655,Kingston Laptop - Modelo 437,903.79
PROD-01656,Logitech Mouse - Modelo 756,2396.25
PROD-01657,Dell Gabinete - Modelo 686,4649.79
PROD-01658,HP Monitor - Modelo 823,3346.32
PROD-01659,Sony Webcam - Modelo 823,244.47
PROD-01660,Logitech Auricular - Modelo 151,2200.06
PROD-01661,Sony SSD - Modelo 844,2763.94
PROD-01662,LG SSD - Modelo 460,177.18
PROD-01663,Corsair SSD - Modelo 748,1940.42
PROD-01664,Sony Gabinete - Modelo 151,4503.42
PROD-01665,ASUS SSD - Modelo 625,3246.67
PROD-01666,HP Fuente - Modelo 644,3011.63
PROD-01667,Dell Monitor - Modelo 393,609.44
PROD-01668,LG Webcam - Modelo 832,3073.03
PROD-01669,Samsung Gabinete - Modelo 164,3122.46
PROD-01670,HP Teclado - Modelo 278,4441.68
PROD-01671,Samsung Webcam - Modelo 155,2151.99
PROD-01672,Kingston Teclado - Modelo 910,3884.32
PROD-01673,LG SSD - Modelo 993,2662.15
PROD-01674,HP Webcam - Modelo 398,4192.12
PROD-01675,Samsung Gabinete - Modelo 754,1815.52
PROD-01676,Kingston Fuente - Modelo 239,2247.15
PROD-01677,Samsung Mouse - Modelo 935,342.46
PROD-01678,Samsung Teclado - Modelo 552,1447.0
PROD-01679,Logitech Fuente - Modelo 134,1827.07
PROD-01680,Dell Monitor - Modelo 230,332.08
PROD-01681,ASUS Teclado - Modelo 636,2471.69
PROD-01682,LG Monitor - Modelo 166,1723.96
PROD-01683,HP SSD - Modelo 467,2503.16
PROD-01684,HP RAM - Modelo 828,3922.4
PROD-01685,Razer Teclado - Modelo 202,596.61
PROD-01686,Kingston Auricular - Modelo 837,771.08
PROD-01687,LG RAM - Modelo 459,4642.19
PROD-01688,Dell Mouse - Modelo 325,4756.69
PROD-01689,Dell Gabinete - Modelo 634,4401.2
PROD-01690,Dell Teclado - Modelo 588,2973.96
PROD-01691,Kingston Webcam - Modelo 448,1086.31
PROD-01692,Logitech Mouse - Modelo 858,1639.79
PROD-01693,ASUS Mouse - Modelo 781,4493.3
PROD-01694,Dell Teclado - Modelo 931,1782.28
PROD-01695,HP SSD - Modelo 487,1907.53
PROD-01696,LG Mouse - Modelo 740,3631.16
PROD-01697,ASUS Teclado - Modelo 591,2295.7
PROD-01698,LG Laptop - Modelo 186,2511.67
PROD-01699,Samsung Webcam - Modelo 547,4948.61
PROD-01700,Samsung Laptop - Modelo 855,691.22
PROD-01701,Samsung SSD - Modelo 627,476.14
PROD-01702,Corsair Auricular - Modelo 371,3293.31
PROD-01703,LG Auricular - Modelo 508,2044.54
PROD-01704,LG SSD - Modelo 966,3364.65
PROD-01705,Corsair Laptop - Modelo 580,1149.21
PROD-01706,Samsung Webcam - Modelo 576,3986.96
PROD-01707,HP Gabinete - Modelo 373,3719.63
PROD-01708,Samsung Teclado - Modelo 194,146.12
PROD-01709,ASUS Teclado - Modelo 704,3854.94
PROD-01710,Razer RAM - Modelo 966,388.74
PROD-01711,Kingston Fuente - Modelo 817,1860.58
PROD-01712,Razer Auricular - Modelo 209,2668.5
PROD-01713,Samsung Mouse - Modelo 778,843.52
PROD-01714,Samsung Auricular - Modelo 352,983.37
PROD-01715,LG Laptop - Modelo 227,4564.89
PROD-01716,Dell Gabinete - Modelo 402,1131.18
PROD-01717,Sony Teclado - Modelo 293,2990.5
PROD-01718,HP Fuente - Modelo 485,2540.7
PROD-01719,Sony Teclado - Modelo 518,3419.23
PROD-01720,Logitech Webcam - Modelo 243,1643.2
PROD-01721,Kingston Monitor - Modelo 122,2009.6
PROD-01722,Corsair RAM - Modelo 142,4815.67
PROD-01723,HP Teclado - Modelo 631,4806.89
PROD-01724,HP Monitor - Modelo 198,118.53
PROD-01725,Corsair Teclado - Modelo 537,1254.79
PROD-01726,ASUS Mouse - Modelo 825,1764.43
PROD-01727,Samsung Auricular - Modelo 443,850.12
PROD-01728,Kingston Laptop - Modelo 545,1051.77
PROD-01729,Razer Gabinete - Modelo 120,3015.68
PROD-01730,LG Laptop - Modelo 502,1061.97
PROD-01731,Kingston SSD - Modelo 453,1227.86
PROD-01732,Logitech Auricular - Modelo 628,2609.37
PROD-01733,Razer Monitor - Modelo 800,3940.82
PROD-01734,Logitech Laptop - Modelo 279,1094.05
PROD-01735,LG RAM - Modelo 762,3344.21
PROD-01736,HP Fuente - Modelo 731,2214.67
PROD-01737,ASUS RAM - Modelo 575,3312.0
PROD-01738,Razer RAM - Modelo 191,1710.94
PROD-01739,Samsung Mouse - Modelo 677,4927.26
PROD-01740,Dell Fuente - Modelo 441,3217.67
PROD-01741,Samsung RAM - Modelo 914,4062.89
PROD-01742,Samsung Fuente - Modelo 500,4298.95
PROD-01743,LG Monitor - Modelo 791,2440.83
PROD-01744,LG Auricular - Modelo 781,1925.48
PROD-01745,Sony Monitor - Modelo 242,4721.01
PROD-01746,Sony Fuente - Modelo 725,1836.57
PROD-01747,Samsung Teclado - Modelo 124,232.36
PROD-01748,Samsung Auricular - Modelo 849,1228.99
PROD-01749,Razer Mouse - Modelo 389,4855.11
PROD-01750,Razer Laptop - Modelo 862,200.13
PROD-01751,Kingston Mouse - Modelo 807,3417.14
PROD-01752,HP Gabinete - Modelo 152,4196.82
PROD-01753,Kingston Laptop - Modelo 319,3820.02
PROD-01754,Dell Mouse - Modelo 507,3654.02
PROD-01755,ASUS RAM - Modelo 855,4748.56
PROD-01756,Razer Webcam - Modelo 638,275.0
PROD-01757,Dell Fuente - Modelo 184,2607.78
PROD-01758,Dell Fuente - Modelo 859,1466.43
PROD-01759,Razer Laptop - Modelo 348,3385.5
PROD-01760,Samsung Gabinete - Modelo 546,4010.63
PROD-01761,LG Fuente - Modelo 398,178.14
PROD-01762,LG RAM - Modelo 608,743.17
PROD-01763,Logitech Gabinete - Modelo 852,4350.12
PROD-01764,Dell Webcam - Modelo 819,1871.74
PROD-01765,Logitech Teclado - Modelo 917,1966.48
PROD-01766,ASUS Teclado - Modelo 808,3600.38
PROD-01767,Samsung Monitor - Modelo 735,1402.63
PROD-01768,Razer Mouse - Modelo 888,1630.29
PROD-01769,Razer Fuente - Modelo 762,3352.3
PROD-01770,Kingston Auricular - Modelo 935,1002.93
PROD-01771,Dell Teclado - Modelo 914,3685.18
PROD-01772,Logitech Webcam - Modelo 180,2251.93
PROD-01773,Logitech Fuente - Modelo 229,2457.76
PROD-01774,ASUS Webcam - Modelo 295,4445.53
PROD-01775,Razer Webcam - Modelo 303,1399.99
PROD-01776,ASUS Auricular - Modelo 122,2788.11
PROD-01777,Sony Gabinete - Modelo 735,832.03
PROD-01778,Dell Auricular - Modelo 841,2730.47
PROD-01779,Dell RAM - Modelo 977,4662.52
PROD-01780,Kingston Mouse - Modelo 456,3650.54
PROD-01781,ASUS Monitor - Modelo 209,1219.91
PROD-01782,Sony Mouse - Modelo 184,492.21
PROD-01783,Kingston SSD - Modelo 827,3315.14
PROD-01784,Samsung Auricular - Modelo 925,1466.87
PROD-01785,Logitech Monitor - Modelo 607,4985.44
PROD-01786,Corsair SSD - Modelo 150,4252.17
PROD-01787,HP Webcam - Modelo 409,2033.7
PROD-01788,Logitech Auricular - Modelo 923,3946.57
PROD-01789,Logitech Auricular - Modelo 411,2138.22
PROD-01790,Kingston Auricular - Modelo 118,409.66
PROD-01791,Samsung Monitor - Modelo 816,1074.3
PROD-01792,LG RAM - Modelo 850,1837.01
PROD-01793,Samsung Mouse - Modelo 383,3381.07
PROD-01794,Logitech Auricular - Modelo 409,4049.96
PROD-01795,Logitech Teclado - Modelo 817,1069.43
PROD-01796,Razer RAM - Modelo 433,1001.48
PROD-01797,Dell Monitor - Modelo 291,498.21
PROD-01798,Samsung Monitor - Modelo 899,231.63
PROD-01799,Kingston Monitor - Modelo 704,2375.72
PROD-01800,Corsair Gabinete - Modelo 489,1181.93
PROD-01801,HP Fuente - Modelo 712,1510.18
PROD-01802,Corsair Monitor - Modelo 918,2858.71
PROD-01803,Logitech Laptop - Modelo 267,669.15
PROD-01804,Kingston Laptop - Modelo 562,509.53
